collect.....= UnicornPy_2020.05.30.0
device......= UN-2019.05.51
samplerate..= 250.000
channels....= 16
date........= 2020-06-24T11:05:15.097741
filename....= Raw\example626
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
-1081.735,-828.534,-271.887,-217.617,-157.356,-8.225,-1320.452,39.697,0.555,0.770,0.432,-0.549,1.740,0.580,73.333,15.000
-765.056,-681.013,-173.539,-166.655,-25.839,-8.494,-1058.489,35.048,0.555,0.769,0.433,-0.458,1.770,0.488,73.333,16.000
-482.440,-524.193,-174.969,-254.363,-59.187,-25.034,-734.389,-33.617,0.554,0.768,0.433,-0.488,1.831,0.366,73.333,17.000
-266.522,-275.284,-255.168,-285.655,-113.457,-122.666,-467.062,-160.754,0.553,0.771,0.434,-0.366,1.770,0.458,73.333,18.000
-210.285,-209.749,-179.350,-221.729,-131.607,-197.947,-266.701,-183.016,0.554,0.771,0.435,-0.397,1.709,0.427,73.333,19.000
-202.149,-198.484,-165.582,-210.643,-121.057,-186.145,-242.204,-177.562,0.553,0.770,0.433,-0.458,1.740,0.549,73.333,20.000
-196.338,-193.030,-159.949,-204.653,-115.246,-178.993,-235.230,-172.466,0.552,0.771,0.434,-0.519,1.709,0.488,73.333,21.000
-190.973,-187.933,-155.836,-199.646,-111.401,-174.433,-229.061,-168.711,0.552,0.771,0.434,-0.580,1.648,0.580,73.333,22.000
-186.145,-183.821,-152.081,-195.533,-108.093,-170.231,-222.802,-165.045,0.556,0.771,0.433,-0.549,1.648,0.610,73.333,23.000
-181.139,-179.619,-149.131,-191.242,-105.232,-166.833,-217.170,-161.737,0.555,0.771,0.433,-0.641,1.678,0.610,73.333,24.000
-176.668,-176.042,-146.270,-187.665,-102.282,-163.257,-212.431,-158.787,0.554,0.770,0.437,-0.763,1.678,0.641,73.333,25.000
-172.645,-172.377,-143.677,-184.536,-99.957,-160.128,-207.514,-156.015,0.554,0.769,0.438,-0.641,1.740,0.641,73.333,26.000
-168.622,-168.800,-141.531,-181.049,-97.811,-157.267,-202.864,-153.422,0.554,0.769,0.434,-0.610,1.770,0.519,73.333,27.000
-165.314,-166.029,-139.385,-178.009,-96.202,-154.585,-198.841,-150.830,0.556,0.769,0.434,-0.610,1.801,0.488,73.333,28.000
-162.095,-163.257,-137.419,-174.969,-94.235,-152.350,-194.818,-148.326,0.556,0.771,0.435,-0.488,1.801,0.427,73.333,29.000
