collect.....= UnicornPy_2020.01.07.1
device......= UN-2019.05.51
samplerate..= 250.000
channels....= 16
date........= 2020-01-09T13:29:30.525524
filename....= recordeddata
FZ, C3, CZ, C4, PZ, O1, OZ, O2, AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, Battery, Sample
43508.926,198242.547,37173.637,223559.125,193933.047,9095.998,7302.673,187730.172,0.008,1.010,0.099,0.000,0.000,0.000,66.667,1.000
27291.393,30520.057,-4813.761,66.429,75916.273,-5531.968,-1276.732,115469.383,0.006,1.016,0.092,0.000,0.000,0.000,66.667,2.000
14078.292,3171.355,-8555.443,2.503,10731.878,3354.282,-5483.688,56480.359,0.005,1.017,0.092,0.000,0.000,0.000,66.667,3.000
6632.299,1123.488,-9972.901,153.869,-3825.993,508.100,-4699.946,25570.754,0.003,1.018,0.089,0.000,0.000,0.000,66.667,4.000
3815.801,455.350,-11673.154,1115.799,-4414.202,665.546,-4300.744,15676.441,0.001,1.021,0.090,0.000,0.000,0.000,66.667,5.000
2596.468,458.479,-10547.968,2091.855,-1789.570,2848.328,-2935.768,12485.327,0.003,1.020,0.085,-1.984,-0.519,-3.082,66.667,6.000
1563.818,1017.720,-5403.758,2883.465,1025.141,3498.316,-961.930,7504.554,0.001,1.020,0.084,-0.732,1.099,-0.519,66.667,7.000
678.510,2143.443,-1023.799,3612.400,3013.820,3295.184,752.092,1698.375,0.001,1.020,0.084,-0.641,1.526,0.031,66.667,8.000
1537.443,2390.206,717.849,3139.705,3200.144,3159.464,1590.818,1743.704,0.002,1.020,0.085,-0.671,1.770,0.214,66.667,9.000
2099.812,2382.785,1795.829,3036.351,3161.342,3086.150,2193.243,2286.852,0.002,1.019,0.083,-0.610,1.801,0.275,66.667,10.000
2363.831,2849.669,2407.372,3130.764,3130.138,3115.923,2616.406,2645.374,0.002,1.019,0.086,-0.549,1.831,0.305,66.667,11.000
2548.188,3075.958,2705.455,3220.976,3124.953,3168.405,2867.103,2851.636,0.002,1.020,0.087,-0.488,1.648,0.336,66.667,12.000
2653.063,3164.650,2835.185,3263.444,3109.932,3188.968,3007.562,2966.166,0.002,1.020,0.087,-0.549,1.740,0.458,66.667,13.000
2600.402,3169.388,2858.699,3241.718,3023.118,3119.320,3069.699,3004.790,0.003,1.017,0.087,-0.519,1.862,0.549,66.667,14.000
2509.565,3105.909,2809.436,3175.110,2852.887,2914.131,3088.028,2944.261,-0.000,1.018,0.087,-0.641,1.801,0.610,66.667,15.000
2760.441,3213.108,2884.627,3308.863,2962.500,2973.676,3174.305,2990.753,0.000,1.019,0.086,-0.641,1.801,0.641,66.667,16.000
3043.861,3245.384,3392.458,3445.834,3170.282,3241.271,3333.450,3195.495,0.001,1.018,0.084,-0.641,1.801,0.610,66.667,17.000
3270.150,3383.518,3424.913,3413.022,3340.960,3457.905,3437.788,3358.752,0.001,1.019,0.084,-0.519,1.801,0.580,66.667,18.000
3491.164,3537.030,3404.886,3497.780,3484.816,3622.681,3476.859,3525.317,0.002,1.020,0.085,-0.671,1.740,0.641,66.667,19.000
3570.557,3579.766,3519.238,3579.230,3573.687,3567.607,3552.408,3559.739,0.004,1.021,0.085,-0.610,1.648,0.549,66.667,20.000
3601.135,3603.459,3563.494,3585.578,3601.045,3589.780,3570.647,3575.832,0.002,1.021,0.085,-0.732,1.770,0.702,66.667,21.000
3619.105,3617.317,3580.124,3585.846,3608.823,3598.631,3581.018,3586.382,0.003,1.019,0.087,-0.732,1.770,0.702,66.667,22.000
3629.119,3626.258,3589.869,3586.472,3610.254,3601.045,3588.439,3592.641,0.003,1.019,0.086,-0.732,1.740,0.671,66.667,23.000
3635.109,3629.566,3596.038,3587.545,3609.539,3601.582,3592.909,3597.200,0.003,1.018,0.085,-0.763,1.862,0.763,66.667,24.000
3638.328,3630.371,3600.062,3588.528,3608.823,3601.403,3595.144,3600.688,0.003,1.018,0.086,-0.641,1.770,0.610,66.667,25.000
3639.669,3628.761,3601.760,3589.601,3608.198,3601.850,3596.932,3603.012,0.001,1.019,0.086,-0.458,1.831,0.610,66.667,26.000
3640.473,3627.152,3604.889,3591.836,3608.823,3602.207,3597.826,3605.068,0.002,1.018,0.086,-0.580,1.862,0.549,66.667,27.000
3639.758,3624.917,3607.035,3593.356,3609.002,3603.370,3599.167,3608.287,0.003,1.019,0.086,-0.580,1.740,0.488,66.667,28.000
3638.954,3622.860,3608.734,3596.128,3610.790,3604.621,3600.777,3609.986,0.002,1.020,0.086,-0.580,1.740,0.366,66.667,29.000
3638.238,3622.234,3610.165,3598.273,3612.847,3606.856,3603.370,3611.863,0.003,1.021,0.086,-0.671,1.801,0.275,66.667,30.000
3637.344,3622.324,3611.953,3600.688,3614.992,3609.628,3605.337,3613.741,0.002,1.020,0.088,-0.824,1.801,0.305,66.667,31.000
3636.540,3621.698,3614.098,3602.476,3616.065,3610.075,3606.678,3615.082,0.002,1.020,0.086,-0.702,1.831,0.244,66.667,32.000
3635.377,3621.519,3616.602,3604.800,3617.675,3611.684,3608.376,3616.602,0.001,1.020,0.086,-0.549,1.892,0.305,66.667,33.000
3635.377,3621.787,3617.496,3606.409,3619.731,3614.277,3610.612,3618.569,0.001,1.019,0.087,-0.427,1.953,0.366,66.667,34.000
3635.198,3621.519,3618.658,3608.287,3621.430,3616.959,3612.310,3619.731,0.002,1.022,0.085,-0.488,1.892,0.427,66.667,35.000
3635.377,3621.698,3620.178,3609.986,3622.145,3618.569,3613.204,3621.072,0.001,1.021,0.086,-0.427,1.862,0.458,66.667,36.000
3635.377,3621.698,3622.234,3610.790,3623.754,3620.357,3615.350,3621.966,0.001,1.020,0.086,-0.458,1.678,0.458,66.667,37.000
3635.288,3622.413,3622.860,3612.400,3625.095,3621.430,3616.155,3623.218,0.000,1.020,0.087,-0.458,1.740,0.488,66.667,38.000
3635.198,3623.576,3624.201,3613.830,3625.900,3623.039,3617.228,3623.844,-0.000,1.021,0.086,-0.488,1.740,0.519,66.667,39.000
3635.824,3624.380,3625.721,3614.367,3627.152,3624.648,3618.837,3625.095,0.001,1.021,0.087,-0.397,1.709,0.458,66.667,40.000
3637.344,3624.648,3626.615,3615.708,3628.672,3625.542,3620.357,3626.347,0.003,1.022,0.087,-0.519,1.801,0.549,66.667,41.000
3637.255,3625.364,3627.510,3616.781,3629.387,3627.062,3621.519,3627.331,0.003,1.021,0.085,-0.519,1.770,0.610,66.667,42.000
3637.613,3626.347,3628.851,3617.854,3630.102,3628.046,3622.681,3628.493,0.003,1.021,0.086,-0.580,1.740,0.519,66.667,43.000
3638.685,3627.152,3630.013,3619.105,3631.354,3629.029,3624.023,3629.119,0.000,1.021,0.083,-0.610,1.678,0.549,66.667,44.000
3639.401,3628.404,3631.533,3620.089,3632.427,3630.460,3624.827,3630.013,0.001,1.021,0.084,-0.671,1.709,0.641,66.667,45.000
3640.116,3629.119,3632.427,3620.715,3633.053,3631.443,3625.721,3631.533,0.002,1.021,0.087,-0.793,1.709,0.610,66.667,46.000
3641.457,3630.371,3633.231,3621.072,3633.142,3631.890,3626.884,3632.248,0.003,1.019,0.085,-0.793,1.648,0.580,66.667,47.000
3642.351,3630.996,3634.394,3621.251,3634.125,3633.321,3627.867,3632.784,0.001,1.019,0.085,-0.824,1.709,0.641,66.667,48.000
3642.977,3631.533,3635.556,3622.413,3634.304,3634.215,3629.119,3633.768,0.000,1.020,0.086,-0.763,1.678,0.671,66.667,49.000
3643.692,3632.337,3636.450,3623.576,3635.198,3634.662,3629.745,3633.768,0.004,1.018,0.087,-0.641,1.648,0.641,66.667,50.000
3644.407,3633.142,3636.987,3624.291,3635.914,3635.198,3630.192,3634.483,0.005,1.019,0.087,-0.702,1.740,0.610,66.667,51.000
3644.497,3633.768,3637.791,3624.201,3636.808,3636.093,3630.907,3635.556,0.004,1.018,0.088,-0.702,1.770,0.641,66.667,52.000
3645.927,3634.215,3638.507,3625.274,3637.434,3637.166,3632.248,3636.271,0.001,1.019,0.086,-0.671,1.831,0.702,66.667,53.000
3646.643,3635.109,3639.401,3625.811,3637.613,3637.970,3632.516,3637.255,0.004,1.019,0.089,-0.610,1.831,0.671,66.667,54.000
3647.000,3636.093,3639.848,3626.258,3637.881,3638.149,3633.231,3637.881,0.004,1.018,0.087,-0.458,1.831,0.519,66.667,55.000
3647.626,3636.719,3640.473,3626.705,3638.775,3638.685,3634.215,3637.702,0.004,1.018,0.086,-0.458,1.740,0.397,66.667,56.000
3648.520,3636.987,3641.010,3627.510,3639.132,3638.417,3634.662,3638.328,0.004,1.017,0.084,-0.427,1.740,0.427,66.667,57.000
3648.520,3636.987,3642.262,3627.867,3639.222,3639.222,3634.930,3638.954,0.006,1.020,0.085,-0.366,1.831,0.397,66.667,58.000
3649.504,3637.702,3642.798,3628.404,3640.026,3639.937,3635.646,3639.401,0.003,1.020,0.086,-0.336,1.923,0.336,66.667,59.000
2404.333,2393.782,2398.074,2383.679,2395.481,2394.945,2391.458,2395.034,0.002,1.019,0.087,-0.336,1.862,0.183,66.667,60.000
