stimulusFile,preStimulusInterval,stimulusDuration,stimulusDuration_min,responseWindow_min,responseWindow_max,stimulusITI,postResponseInterval,stimulusXcoord,stimulusYcoord,correctResp,stimulusCode,maskFile,feedbackDuration,preFeedbackDelay,endFeedbackWithResponse,correctResponseStimulusFile,correctResponseCode,commissionErrorStimulusFile,commissionErrorCode,omissionErrorStimulusFile,omissionErrorCode,impulsiveErrorStimulusFile,impulsiveErrorCode,delayErrorStimulusFile,delayErrorCode
SNBf4.png,0,1000,100,100,1450,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SNBf1.png,0,1000,100,100,1450,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SNBf5.png,0,1000,100,100,1450,1500,0,0,0,j,15,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf6.png,0,1000,100,100,1450,1500,0,0,0,s,16,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf5.png,0,1000,100,100,1450,1500,0,0,0,k,35,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf2.png,0,1000,100,100,1450,1500,0,0,0,l,12,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf2.png,0,1000,100,100,1450,1500,0,0,0,k,22,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf6.png,0,1000,100,100,1450,1500,0,0,0,d,16,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf4.png,0,1000,100,100,1450,1500,0,0,0,d,14,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf4.png,0,1000,100,100,1450,1500,0,0,0,l,24,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf4.png,0,1000,100,100,1450,1500,0,0,0,j,44,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf3.png,0,1000,100,100,1450,1500,0,0,0,j,13,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf1.png,0,1000,100,100,1450,1500,0,0,0,j,11,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf6.png,0,1000,100,100,1450,1500,0,0,0,f,16,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf5.png,0,1000,100,100,1450,1500,0,0,0,s,15,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf6.png,0,1000,100,100,1450,1500,0,0,0,l,36,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf5.png,0,1000,100,100,1450,1500,0,0,0,k,35,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf2.png,0,1000,100,100,1450,1500,0,0,0,l,12,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf3.png,0,1000,100,100,1450,1500,0,0,0,k,13,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf2.png,0,1000,100,100,1450,1500,0,0,0,d,32,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf1.png,0,1000,100,100,1450,1500,0,0,0,f,11,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
SNBf1.png,0,1000,100,100,1450,1500,0,0,0,d,21,0,80,0,0,0,0,SNBferror.png,51,SNBferror.png,52,0,0,SNBferror.png,54,
